"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Survey of Personalized Medicine Recommendation","F. Zhu; L. Cui; Y. Xu; Z. Qu; Z. Shen","School of Software, Shandong University, Jinan, China; School of Software, Shandong University, Jinan, China; Joint SDU-NTU Centre for Artificial Intelligence Research (C-FAIR), Shandong University, Jinan, China; School of Software, Shandong University, Jinan, China; School of Computer Science and Engineering, Nanyang Technological University, Singapore, Singapore",International Journal of Crowd Science,"14 May 2024","2024","8","2","77","82","Mining potential and valuable medical knowledge from massive medical data to support clinical decision-making has become an important research field. Personalized medicine recommendation is an important research direction in this field, aiming to recommend the most suitable medicines for each patient according to the health status of the patient. Personalized medicine recommendation can assist clinicians to make clinical decisions and avoid the occurrence of medical abnormalities, so it has been widely concerned by many researchers. Based on this, this paper makes a comprehensive review of personalized medicine recommendation. Specifically, we first make clear the definition of personalized medicine recommendation problem; then, starting from the key theories and technologies, the personalized medicine recommendation algorithms proposed in recent years are systematically classified (medicine recommendation based on multi-disease, medicine recommendation with combination pattern, medicine recommendation with additional knowledge, and medicine recommendation based on feedback) and in-depth analyzed; and this paper also introduces how to evaluate personalized medicine recommendation algorithms and some common evaluation indicators; finally, the challenges of personalized medicine recommendation problem are put forward, and the future research direction and development trends are prospected.","2398-7294","","10.26599/IJCS.2023.9100013","National Natural Science Foundation of China(grant numbers:91846205); National Key R&D Program of China(grant numbers:2021YFF0900800); Shandong Provincial Natural Science Foundation(grant numbers:ZR202111180007); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10530641","recommended system;clinical decision support;medicine recommendation","Surveys;Reviews;Precision medicine;Decision making;Market research;Classification algorithms;Safety","","4","","30","","14 May 2024","","","TUP","TUP Journals"
"An Intelligent Disease Prediction and Drug Recommendation Prototype by Using Multiple Approaches of Machine Learning Algorithms","S. K. Nayak; M. Garanayak; S. K. Swain; S. K. Panda; D. Godavarthi","Department of Computer Science and Engineering, Centurion University of Technology and Management, Bhubaneswar, Odisha, India; Department of Computer Science, Kalinga Institute of Social Sciences, Deemed to be University, Bhubaneswar, Odisha, India; Department of Computer Science and Engineering, Centurion University of Technology and Management, Bhubaneswar, Odisha, India; Department of Artificial Intelligence and Data Science, Faculty of Science and Technology (IcfaiTech), ICFAI Foundation for Higher Education, Hyderabad, Telangana, India; School of Computer Science & Engineering (SCOPE), VIT-AP University, Amaravati, Andhra Pradesh, India",IEEE Access,"19 Sep 2023","2023","11","","99304","99318","Large blocks of data must be analyzed and explored by utilizing the data mining procedures in order to uncover significant patterns and trends. Medical databases are one area where the data mining procedures can be utilized. Many people all over the world are struggling with their health and medical diagnoses. Massive amounts of data are produced by hospital information systems (HIS), yet it might be difficult to extract knowledge from diagnosis case data. By just giving the symptoms they are experiencing, patients can quickly learn about the sickness they are experiencing and the medication that can assist, treat it using the approaches utilized in this paper. In this paper, we give drug recommendations relied on ratings and conditions to customers. Four distinct prototypes are utilized to predict the diseases. The Vader tool and sentiment analysis relied on NLP are utilized to analyze the reviews. And finally, probabilistic and weighted average methodologies are utilized to recommend the medications. Each model and strategy utilized in this paper is described in detail. The experimental findings presented in this work can be utilized in future studies and for a variety of different medicinal applications.","2169-3536","","10.1109/ACCESS.2023.3314332","Faculty of Science and Technology (IcfaiTech), ICFAI Foundation for Higher Education, Hyderabad, Telangana, India; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10247046","Data mining;drug recommendation system;NLP;sentiment analysis","Data mining;Medical diagnostic imaging;Recommender systems;Medical services;Diseases;Drugs;Machine learning","","18","","24","CCBYNCND","11 Sep 2023","","","IEEE","IEEE Journals"
"SHAPE: A Sample-Adaptive Hierarchical Prediction Network for Medication Recommendation","S. Liu; X. Wang; J. Du; Y. Hou; X. Zhao; H. Xu; H. Wang; Y. Xiang; B. Tang","Department of Computer Science, Harbin Institute of Technology (Shenzhen), Shenzhen, China; Department of Computer Science, Harbin Institute of Technology (Shenzhen), Shenzhen, China; Melax Tech, Inc., Houston, TX, USA; Peng Cheng Laboratory, Shenzhen, China; Department of Computer Science, Harbin Institute of Technology (Shenzhen), Shenzhen, China; Gennlife (Beijing) Technology Company, Ltd., Beijing, China; Gennlife (Beijing) Technology Company, Ltd., Beijing, China; Peng Cheng Laboratory, Shenzhen, China; Department of Computer Science, Harbin Institute of Technology (Shenzhen), Shenzhen, China",IEEE Journal of Biomedical and Health Informatics,"5 Dec 2023","2023","27","12","6018","6028","Effectively medication recommendation with complex multimorbidity conditions is a critical yet challenging task in healthcare. Most existing works predicted medications based on longitudinal records, which assumed the encoding format of intra-visit medical events are serialized and information transmitted patterns of learning longitudinal sequence data are stable. However, the following conditions may have been ignored: 1) A more compact encoder for intra-relationship in the intra-visit medical event is urgent; 2) Strategies for learning accurate representations of the variable longitudinal sequences of patients are different. In this article, we proposed a novel Sample-adaptive Hierarchical medicAtion Prediction nEtwork, termed SHAPE, to tackle the above challenges in the medication recommendation task. Specifically, we design a compact intra-visit set encoder to encode the relationship in the medical event for obtaining visit-level representation and then develop an inter-visit longitudinal encoder to learn the patient-level longitudinal representation efficiently. To endow the model with the capability of modeling the variable visit length, we introduce a soft curriculum learning method to assign the difficulty of each sample automatically by the visit length. Extensive experiments on a benchmark dataset verify the superiority of our model compared with several state-of-the-art baselines.","2168-2208","","10.1109/JBHI.2023.3320139","National Natural Science Foundation of China(grant numbers:62276075,62276082,U1813215,61876052,62106115); Science and Technology Planning Project of Shenzhen Municipality(grant numbers:JCYJ20190806112210067); National Key R&D Program of China(grant numbers:2021ZD0113402); National Natural Science Foundation of China(grant numbers:2019A1515011158); Major Key Project of PCL(grant numbers:PCL2021A06); Strategic Emerging Industry Development Special Fund of Shenzhen(grant numbers:20200821174109001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10266699","Medication recommendation;curriculum learning;set encoder;electronic health record (EHR) data-mining","Medical diagnostic imaging;Shape;Drugs;Codes;Task analysis;Bioinformatics;MIMICs;Recommender systems;Data mining","Humans;Benchmarking;Multimorbidity","6","","43","CCBY","28 Sep 2023","","","IEEE","IEEE Journals"
"Multimodal Reinforcement Learning for Embedding Networks and Medication Recommendation in Parkinson’s Disease","H. Kim; C. Park; J. Hoon Kim; S. Jang; H. K. Lee","School of Industrial and Management Engineering, Korea University, Seoul, Republic of Korea; School of Industrial and Management Engineering, Korea University, Seoul, Republic of Korea; School of Industrial and Management Engineering, Korea University, Seoul, Republic of Korea; School of Industrial and Management Engineering, Korea University, Seoul, Republic of Korea; School of Industrial and Management Engineering, Korea University, Seoul, Republic of Korea",IEEE Access,"30 May 2024","2024","12","","74251","74267","This study presents a comprehensive framework for analyzing Parkinson’s disease (PD) progression and optimizing medication recommendations based on multimodal data integration and reinforcement learning (RL) techniques. The research framework integrates diverse biomarkers from structured clinical assessments, imaging data, and biospecimen information, creating various single, bimodal, and trimodal datasets. Deep learning-based embedding networks are employed to transform high-dimensional data into lower-dimensional representations, capturing essential patterns related to PD progression. The learned representations are evaluated using visualization methods and predictive modeling to differentiate clinically relevant outcomes. Subsequently, medication recommendation models are developed based on the learned representations, assisting clinicians in making informed decisions to manage PD progression effectively. Optimal medication policies are derived considering different modality settings, revealing insights into medication prescribing tendencies across modalities. The findings highlight the significance of integrating diverse data modalities in understanding and managing PD progression, showcasing the potential of RL-based medication recommendation systems in clinical decision-making. This research contributes to the advancement of personalized medicine strategies for PD patients, emphasizing the importance of tailored medication regimes based on multimodal data insights.","2169-3536","","10.1109/ACCESS.2024.3405009","National Research Foundation (NRF) funded by Korean Government (MSIT)(grant numbers:RS-2023-00212713); Korea Institute for Advancement of Technology (KIAT) funded by Korean Government (MOTIE) through the Competency Development Program for Industry Specialist(grant numbers:P0020649); BK21 FOUR funded by the Ministry of Education of Korea and National Research Foundation of Korea; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10538276","Reinforcement learning;Parkinson’s disease;representation learning;multimodal data;medication recommendation;personalized medicine","Diseases;Medical diagnostic imaging;Imaging;Reinforcement learning;Motors;Biomarkers;Data models;Parkinson's disease;Representation learning;Drug delivery","","2","","47","CCBY","24 May 2024","","","IEEE","IEEE Journals"
"Personalized Prescription Recommendation Using Attention Over Medical Order Information","F. Gao; N. Zhao; Y. Chen; J. Guo; Y. Wang; H. Yuan; S. Lu","Department of Computer Science and Technology, Wuhan University of Science and Technology, Wuhan, China; Department of Computer Science and Technology, Wuhan University of Science and Technology, Wuhan, China; Department of Computer Science and Technology, Wuhan University of Science and Technology, Wuhan, China; The First Affiliated Hospital, Nanjing Medical University (Jiangsu Province Hospital), Nanjing, China; The First Affiliated Hospital, Nanjing Medical University (Jiangsu Province Hospital), Nanjing, China; The First Affiliated Hospital, Nanjing Medical University (Jiangsu Province Hospital), Nanjing, China; The First Affiliated Hospital, Nanjing Medical University (Jiangsu Province Hospital), Nanjing, China",IEEE Access,"22 Nov 2024","2024","12","","172244","172255","In the context of patients with complex conditions, the capacity to assist physicians in making appropriate prescribing decisions is of paramount importance. The field of prescription recommendation has attracted a growing body of research interest, given its significant clinical value. However, existing research has not taken into account the patients’ intention to visit the doctor and the similarities between patients’ visit intentions. In this study, we employ medical order data in both prescription intention modeling and patient similarity analysis, subsequently integrating these to generate more personalized and accurate prescription recommendations. The cross-attention mechanism is first employed to focus the representation of the patient’s health status on the patient’s chief complaints, with the objective of predicting treatment intention and, subsequently, the prescriptions. Subsequently, when we learn from the successful treatment experiences of similar patients, we focus more on the similarities of their chief complaints. The experimental results on the MIMIC-III dataset demonstrate that our method achieves optimal performance in terms of Jaccard score, PRAUC, F1 score and average precision, with relative improvements of 7%, 5%, 4%, and 8% respectively, in comparison to state-of-the-art approaches.","2169-3536","","10.1109/ACCESS.2024.3459080","Regional Comprehensive Application Demonstration of Digital Intelligence Technology for Active Health Services(grant numbers:2023YFC3605800); Construction and Application of Early Diagnosis and Prediction Model for Gestational Diabetes Based on Multimodal Information(grant numbers:BE2023781); Key Research and Development Program of Wuhan(grant numbers:2022012202015070); “Selective Candidate” Joint Research Fund of Wuhan East Lake High-Tech Development District(grant numbers:2022KJB126); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10679140","Prescription recommendation;electronic health record;patient similarity analysis;attention mechanism","Medical diagnostic imaging;Drugs;Diseases;Electronic medical records;Codes;Hospitals;Attention mechanisms","","","","31","CCBY","12 Sep 2024","","","IEEE","IEEE Journals"
"GATE: Graph-Attention Augmented Temporal Neural Network for Medication Recommendation","C. Su; S. Gao; S. Li","Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China",IEEE Access,"16 Jul 2020","2020","8","","125447","125458","Medication recommendation based on Electronic Health Records (EHRs) is an important research direction, which aims to make prescription recommendations according to EHRs of patients. Most existing methods either only make recommendation through EHRs of the current admission while ignoring the patient's historical records, or fail to fully consider the correlations among the clinical events from every single admission. These methods have shown their limitations in dealing with the complex structural correlations and temporal dependencies of clinical events in EHRs, which results in the defect of recommendation quality as well as the lack of temporal prediction ability. For that, a novel graph-attention augmented temporal neural network is proposed to model both the structural and temporal information simultaneously. For each admission record, a co-occurrence graph is constructed to establish the correlations among clinical events, and then a graph-attention augmented mechanism is used to learn the structural correlations on the graphs to obtain better representation of this admission. Then a temporal updating module based on the gated recurrent units is further proposed to learn the temporal dependencies between multiple admissions of each patient. Furthermore, our proposed model is also constrained by the co-occurrence graph, which can capture the internal correlations of clinical events and provide better modeling capability when the training data is sparse. Experiments illustrate that our model is superior to the state-of-the-art methods on a real-world dataset MIMIC-III in all effectiveness measures.","2169-3536","","10.1109/ACCESS.2020.3007835","National Natural Science Foundation of China(grant numbers:61702047); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9134772","Electronic medical records;medication recommendation;graph-attention neural networks;temporal updating","Medical diagnostic imaging;Correlation;Data models;Hidden Markov models;Neural networks;Logic gates;Task analysis","","30","","46","CCBY","7 Jul 2020","","","IEEE","IEEE Journals"
"Chinese Medicine Prescription Recommendation Using Generative Adversarial Network","C. Rong; X. Li; X. Sun; H. Sun","School of Computer Science and Technology, Tiangong University, Tianjin, China; School of Computer Science and Technology, Tiangong University, Tianjin, China; School of Computer Science and Technology, Tiangong University, Tianjin, China; China Academy of Civil Aviation Science and Technology, Institute of Aviation Safety, Beijing, China",IEEE Access,"3 Feb 2022","2022","10","","12219","12228","The theory of traditional Chinese medicine (TCM) is an important part of Chinese culture. In the long history, there are a large number of excellent prescriptions, whose laws have been explored by many studies, but few works directly studied the generation of prescriptions. With the rapid development of deep learning, many applications of text generation using neural networks have emerged. Prescriptions are the doctors’ clinical experience and the results of neural networks also come from the accumulated experience. So, it is very feasible to apply deep learning techniques to the recommendation on TCM prescriptions. GAN and its variants have been applied in text generation recently. It has advantages in many aspects, such as the rapid speed of computation, the update of parameters by back propagation without Markov chain and more real data generation with two-players game. We attempted to know the important attributes of prescriptions and use these contents as the training data for variants of GAN to generate prescriptions. Specifically, we attempted to apply SeqGAN (Sequence Generative Adversarial Nets) and CGAN (Conditional Generative Adversarial Nets) to prescription generations. By underlying the knowledge of TCM, the prescriptions with different characteristics can be successfully generated. In the experiments, we conducted the comparative evaluations on the original data with other models. The results showed that applications in the innovation of prescription sequence generations have certain feasibility and significance, even can provide some reference values for the innovation of TCM.","2169-3536","","10.1109/ACCESS.2022.3143797","Natural Science Foundation of China(grant numbers:61402329,61972456); Natural Science Foundation of Tianjin(grant numbers:19JCYBJC15400,21YDTPJC00440); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9682726","TCM;prescription recommendation;GAN;SeqGAN;CGAN","Generative adversarial networks;Deep learning;Training;Neural networks;Games;Drugs;Logic gates","","6","","21","CCBY","14 Jan 2022","","","IEEE","IEEE Journals"
"Optimal Drug Prediction From Personal Genomics Profiles","J. Sheng; F. Li; S. T. C. Wong","NCI Center for Modeling Cancer Development, Department of Systems Medicine and Bioengineering, Houston Methodist Research Institute, Weill Cornell Medical College, Houston, TX, USA; NCI Center for Modeling Cancer Development, Department of Systems Medicine and Bioengineering, Houston Methodist Research Institute and Houston Methodist Cancer Center, Houston Methodist Hospital, Weill Cornell Medical College, Houston, TX, USA; NCI Center for Modeling Cancer Development, Department of Systems Medicine and Bioengineering, Houston Methodist Research Institute and Houston Methodist Cancer Center, Houston Methodist Hospital, Weill Cornell Medical College, Houston, TX, USA",IEEE Journal of Biomedical and Health Informatics,"20 May 2017","2015","19","4","1264","1270","Cancer patients often show heterogeneous drug responses such that only a small subset of patients is sensitive to a given anticancer drug. With the availability of large-scale genomic profiling via next-generation sequencing, it is now economically feasible to profile the whole transcriptome and genome of individual patients in order to identify their unique genetic mutations and differentially expressed genes, which are believed to be responsible for heterogeneous drug responses. Although subtyping analysis has identified patient subgroups sharing common biomarkers, there is no effective method to predict the drug response of individual patients precisely and reliably. Herein, we propose a novel computational algorithm to predict the drug response of individual patients based on personal genomic profiles, as well as pharmacogenomic and drug sensitivity data. Specifically, more than 600 cancer cell lines (viewed as individual patients) across over 50 types of cancers and their responses to 75 drugs were obtained from the genomics of drug sensitivity in cancer database. The drug-specific sensitivity signatures were determined from the changes in genomic profiles of individual cell lines in response to a specific drug. The optimal drugs for individual cell lines were predicted by integrating the votes from other cell lines. The experimental results show that the proposed drug prediction algorithm can be used to improve greatly the reliability of finding optimal drugs for individual patients and will, thus, form a key component in the precision medicine infrastructure for oncology care.","2168-2208","","10.1109/JBHI.2015.2412522","Cancer Prevention and Research Institute of Texas(grant numbers:RP110532); NIH(grant numbers:U54 CA149196,RP140113); John S Dunn Research Foundation; Ting Tsung and Wei Fong Chao Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7060697","personalized medicine;drug sensitivity;personal genomics;drug response prediction;Drug response prediction;drug sensitivity;personal genomics;personalized medicine","Drugs;Cancer;Genomics;Bioinformatics;Sensitivity;Gene expression;Prediction algorithms","Antineoplastic Agents;Cell Line, Tumor;Cluster Analysis;Gene Expression Profiling;Genomics;Humans;Medical Informatics Computing;Neoplasms;Pharmacogenetics;Precision Medicine","46","","32","OAPA","13 Mar 2015","","","IEEE","IEEE Journals"
"PreGenerator: TCM Prescription Recommendation Model Based on Retrieval and Generation Method","Z. Zhao; X. Ren; K. Song; Y. Qiang; J. Zhao; J. Zhang; P. Han","College of Information and Computer, Taiyuan University of Technology, Taiyuan, China; College of Information and Computer, Taiyuan University of Technology, Taiyuan, China; College of Physics, Taiyuan University of Technology, Taiyuan, China; College of Information and Computer, Taiyuan University of Technology, Taiyuan, China; College of Information and Computer, Taiyuan University of Technology, Taiyuan, China; School of Basic Medicine, Shanxi University of Traditional Chinese Medicine, Taiyuan, China; North Automatic Control Technology Institute, Taiyuan, China",IEEE Access,"2 Oct 2023","2023","11","","103679","103692","The generation of Traditional Chinese Medicine (TCM) prescription is one of the most challenging tasks in the research of intelligent TCM. Current researches usually use transfer learning methods to apply the relevant technology of text generation to this task simply and roughly. Either they need to train a model with large number of standardized data set, or they ignore the domain knowledge and expertise of TCM. In order to solve these problems, we propose a hybrid neural network architecture for TCM prescription generation—PreGenerator. It includes a novel hierarchical retrieval mechanism, which can automatically extract prescription and herbal templates to facilitate accurate clinical prescription generation. Firstly, PreGenerator uses the Symptom-Prescription Retrieval (SHR) module to retrieve the most relevant prescriptions for a given patient’s symptoms. In order to follow the rule of compatibility of herbs, the Herb-Herb Retrieval (HHR) module is introduced to retrieve the next most relevant herb according to the conditioned generated herbs. Finally, the prescription decoder (PreD) fuses the symptom features, the retrieved prescription and herbal template features to generate the most relevant and effective Chinese medicine prescription. The validity of the model is verified by automatic evaluation and manual evaluation on the real medical case dataset. In addition, our model can recommend herbs that do not appear on the prescription label but are useful for relieving symptoms, which shows that our model can learn some interactions between herbs and symptoms. This research also lays a foundation for the future research on intelligent query and prescription generation of traditional Chinese medicine.","2169-3536","","10.1109/ACCESS.2023.3316219","National Natural Science Foundation of China(grant numbers:61972274); Major Project of National Natural Science Foundation of China(grant numbers:U21A20469); Natural Science Foundation of Shanxi Province(grant numbers:202103021224066); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253949","Text generation;traditional Chinese medicine;prescription;intelligent Chinese medicine;herb retrieval","Task analysis;Medical services;Medical diagnostic imaging;Feature extraction;Decoding;Diseases;Correlation;China","","2","","31","CCBYNCND","18 Sep 2023","","","IEEE","IEEE Journals"
"Approaching High-Accuracy Side Effect Prediction of Traditional Chinese Medicine Compound Prescription Using Network Embedding and Deep Learning","Z. Wang; L. Li; J. Yan; Y. Yao","School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; First Clinical Medical College, Zhejiang Chinese Medicine University, Hangzhou, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China",IEEE Access,"13 May 2020","2020","8","","82493","82499","In this paper, we realize high-accuracy side-effect prediction of Traditional Chinese Medicine Compound Prescription by introducing network embedding and deep learning. A random walk network that could efficiently interpret the information in the prescription is established from a conventional Bag-of-Word network. After the validation of this random walk network, the highest prediction accuracy reaches 0.908 where a simple five-layer artificial neural network is implemented, rendering this method is promising for Traditional Chinese Medicine side-effect prediction and other medicines with a similar structure such as the compound drugs.","2169-3536","","10.1109/ACCESS.2020.2991750","National Natural Science Foundation of China(grant numbers:61370202); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9083967","Side effect;network embedding;deep learning;traditional Chinese medicine","Compounds;Mathematical model;Deep learning;Correlation;Neural networks;Diseases","","10","","42","CCBY","1 May 2020","","","IEEE","IEEE Journals"
