title,authors,year,source,raw
"DNMDR:} Dynamic Networks and Multi-view Drug Representations for
Safe Medication Recommendation","Guanlin Liu and
Xiaomei Yu and
Zihao Liu and
Xue Li and
Xingxu Fan and
Xiangwei Zheng",2025,DBLP,"{'bibsource': 'dblp computer science bibliography, https://dblp.org', 'biburl': 'https://dblp.org/rec/journals/corr/abs-2501-08572.bib', 'timestamp': 'Fri, 14 Mar 2025 00:00:00 +0100', 'eprint': '2501.08572', 'eprinttype': 'arXiv', 'doi': '10.48550/ARXIV.2501.08572', 'url': 'https://doi.org/10.48550/arXiv.2501.08572', 'year': '2025', 'volume': 'abs/2501.08572', 'journal': 'CoRR', 'title': '{DNMDR:} Dynamic Networks and Multi-view Drug Representations for\nSafe Medication Recommendation', 'author': 'Guanlin Liu and\nXiaomei Yu and\nZihao Liu and\nXue Li and\nXingxu Fan and\nXiangwei Zheng', 'ENTRYTYPE': 'article', 'ID': 'DBLP:journals/corr/abs-2501-08572'}"
"KEDRec-LM: {A} Knowledge-distilled Explainable Drug Recommendation
Large Language Model","Kai Zhang and
Rui Zhu and
Shutian Ma and
Jingwei Xiong and
Yejin Kim and
Fabricio Murai and
Xiaozhong Liu",2025,DBLP,"{'bibsource': 'dblp computer science bibliography, https://dblp.org', 'biburl': 'https://dblp.org/rec/journals/corr/abs-2502-20350.bib', 'timestamp': 'Fri, 21 Mar 2025 00:00:00 +0100', 'eprint': '2502.20350', 'eprinttype': 'arXiv', 'doi': '10.48550/ARXIV.2502.20350', 'url': 'https://doi.org/10.48550/arXiv.2502.20350', 'year': '2025', 'volume': 'abs/2502.20350', 'journal': 'CoRR', 'title': 'KEDRec-LM: {A} Knowledge-distilled Explainable Drug Recommendation\nLarge Language Model', 'author': 'Kai Zhang and\nRui Zhu and\nShutian Ma and\nJingwei Xiong and\nYejin Kim and\nFabricio Murai and\nXiaozhong Liu', 'ENTRYTYPE': 'article', 'ID': 'DBLP:journals/corr/abs-2502-20350'}"
Relationship Discovery for Drug Recommendation,"Xiang Li and
Shunpan Liang and
Yu Lei and
Chen Li and
Yulei Hou and
Tengfei Ma",2024,DBLP,"{'bibsource': 'dblp computer science bibliography, https://dblp.org', 'biburl': 'https://dblp.org/rec/journals/corr/abs-2404-12228.bib', 'timestamp': 'Thu, 13 Feb 2025 00:00:00 +0100', 'eprint': '2404.12228', 'eprinttype': 'arXiv', 'doi': '10.48550/ARXIV.2404.12228', 'url': 'https://doi.org/10.48550/arXiv.2404.12228', 'year': '2024', 'volume': 'abs/2404.12228', 'journal': 'CoRR', 'title': 'Relationship Discovery for Drug Recommendation', 'author': 'Xiang Li and\nShunpan Liang and\nYu Lei and\nChen Li and\nYulei Hou and\nTengfei Ma', 'ENTRYTYPE': 'article', 'ID': 'DBLP:journals/corr/abs-2404-12228'}"
"NRBdMF: {A} recommendation algorithm for predicting drug effects considering
directionality","Iori Azuma and
Tadahaya Mizuno and
Hiroyuki Kusuhara",2022,DBLP,"{'bibsource': 'dblp computer science bibliography, https://dblp.org', 'biburl': 'https://dblp.org/rec/journals/corr/abs-2208-04312.bib', 'timestamp': 'Wed, 17 Aug 2022 01:00:00 +0200', 'eprint': '2208.04312', 'eprinttype': 'arXiv', 'doi': '10.48550/ARXIV.2208.04312', 'url': 'https://doi.org/10.48550/arXiv.2208.04312', 'year': '2022', 'volume': 'abs/2208.04312', 'journal': 'CoRR', 'title': 'NRBdMF: {A} recommendation algorithm for predicting drug effects considering\ndirectionality', 'author': 'Iori Azuma and\nTadahaya Mizuno and\nHiroyuki Kusuhara', 'ENTRYTYPE': 'article', 'ID': 'DBLP:journals/corr/abs-2208-04312'}"
Knowledge-Driven New Drug Recommendation,"Zhenbang Wu and
Huaxiu Yao and
Zhe Su and
David M. Liebovitz and
Lucas M. Glass and
James Zou and
Chelsea Finn and
Jimeng Sun",2022,DBLP,"{'bibsource': 'dblp computer science bibliography, https://dblp.org', 'biburl': 'https://dblp.org/rec/journals/corr/abs-2210-05572.bib', 'timestamp': 'Mon, 28 Aug 2023 01:00:00 +0200', 'eprint': '2210.05572', 'eprinttype': 'arXiv', 'doi': '10.48550/ARXIV.2210.05572', 'url': 'https://doi.org/10.48550/arXiv.2210.05572', 'year': '2022', 'volume': 'abs/2210.05572', 'journal': 'CoRR', 'title': 'Knowledge-Driven New Drug Recommendation', 'author': 'Zhenbang Wu and\nHuaxiu Yao and\nZhe Su and\nDavid M. Liebovitz and\nLucas M. Glass and\nJames Zou and\nChelsea Finn and\nJimeng Sun', 'ENTRYTYPE': 'article', 'ID': 'DBLP:journals/corr/abs-2210-05572'}"
"Drug Recommendation System based on Sentiment Analysis of Drug Reviews
using Machine Learning",Satvik Garg,2021,DBLP,"{'bibsource': 'dblp computer science bibliography, https://dblp.org', 'biburl': 'https://dblp.org/rec/journals/corr/abs-2104-01113.bib', 'timestamp': 'Mon, 12 Apr 2021 01:00:00 +0200', 'eprint': '2104.01113', 'eprinttype': 'arXiv', 'url': 'https://arxiv.org/abs/2104.01113', 'year': '2021', 'volume': 'abs/2104.01113', 'journal': 'CoRR', 'title': 'Drug Recommendation System based on Sentiment Analysis of Drug Reviews\nusing Machine Learning', 'author': 'Satvik Garg', 'ENTRYTYPE': 'article', 'ID': 'DBLP:journals/corr/abs-2104-01113'}"
SafeDrug: Dual Molecular Graph Encoders for Safe Drug Recommendations,"Chaoqi Yang and
Cao Xiao and
Fenglong Ma and
Lucas Glass and
Jimeng Sun",2021,DBLP,"{'bibsource': 'dblp computer science bibliography, https://dblp.org', 'biburl': 'https://dblp.org/rec/journals/corr/abs-2105-02711.bib', 'timestamp': 'Mon, 28 Aug 2023 01:00:00 +0200', 'eprint': '2105.02711', 'eprinttype': 'arXiv', 'url': 'https://arxiv.org/abs/2105.02711', 'year': '2021', 'volume': 'abs/2105.02711', 'journal': 'CoRR', 'title': 'SafeDrug: Dual Molecular Graph Encoders for Safe Drug Recommendations', 'author': 'Chaoqi Yang and\nCao Xiao and\nFenglong Ma and\nLucas Glass and\nJimeng Sun', 'ENTRYTYPE': 'article', 'ID': 'DBLP:journals/corr/abs-2105-02711'}"
A Drug Recommendation System (Dr.S) for cancer cell lines,"Marleen Balvert and
Georgios Patoulidis and
Andrew Patti and
Timo M. Deist and
Christine Eyler and
Bas E. Dutilh and
Alexander Sch{\""{o}}nhuth and
David Craft",2019,DBLP,"{'bibsource': 'dblp computer science bibliography, https://dblp.org', 'biburl': 'https://dblp.org/rec/journals/corr/abs-1912-11548.bib', 'timestamp': 'Tue, 07 Jan 2020 00:00:00 +0100', 'eprint': '1912.11548', 'eprinttype': 'arXiv', 'url': 'http://arxiv.org/abs/1912.11548', 'year': '2019', 'volume': 'abs/1912.11548', 'journal': 'CoRR', 'title': 'A Drug Recommendation System (Dr.S) for cancer cell lines', 'author': 'Marleen Balvert and\nGeorgios Patoulidis and\nAndrew Patti and\nTimo M. Deist and\nChristine Eyler and\nBas E. Dutilh and\nAlexander Sch{\\""{o}}nhuth and\nDavid Craft', 'ENTRYTYPE': 'article', 'ID': 'DBLP:journals/corr/abs-1912-11548'}"
Drug Recommendation toward Safe Polypharmacy,"Wen{-}Hao Chiang and
Li Shen and
Lang Li and
Xia Ning",2018,DBLP,"{'bibsource': 'dblp computer science bibliography, https://dblp.org', 'biburl': 'https://dblp.org/rec/journals/corr/abs-1803-03185.bib', 'timestamp': 'Tue, 22 Oct 2019 01:00:00 +0200', 'eprint': '1803.03185', 'eprinttype': 'arXiv', 'url': 'http://arxiv.org/abs/1803.03185', 'year': '2018', 'volume': 'abs/1803.03185', 'journal': 'CoRR', 'title': 'Drug Recommendation toward Safe Polypharmacy', 'author': 'Wen{-}Hao Chiang and\nLi Shen and\nLang Li and\nXia Ning', 'ENTRYTYPE': 'article', 'ID': 'DBLP:journals/corr/abs-1803-03185'}"
"A computational framework for longitudinal medication adherence prediction
in breast cancer survivors: {A} social cognitive theory based approach","Navreet Kaur and
Manuel Gonzales and
Cristian Garcia Alcaraz and
Jiaqi Gong and
Kristen J. Wells and
Laura E. Barnes",2025,DBLP,"{'bibsource': 'dblp computer science bibliography, https://dblp.org', 'biburl': 'https://dblp.org/rec/journals/corr/abs-2504-14469.bib', 'timestamp': 'Fri, 23 May 2025 01:00:00 +0200', 'eprint': '2504.14469', 'eprinttype': 'arXiv', 'doi': '10.48550/ARXIV.2504.14469', 'url': 'https://doi.org/10.48550/arXiv.2504.14469', 'year': '2025', 'volume': 'abs/2504.14469', 'journal': 'CoRR', 'title': 'A computational framework for longitudinal medication adherence prediction\nin breast cancer survivors: {A} social cognitive theory based approach', 'author': 'Navreet Kaur and\nManuel Gonzales and\nCristian Garcia Alcaraz and\nJiaqi Gong and\nKristen J. Wells and\nLaura E. Barnes', 'ENTRYTYPE': 'article', 'ID': 'DBLP:journals/corr/abs-2504-14469'}"
