title,authors,year,source,raw
Contrastive Learning on Medical Intents for Sequential Prescription Recommendation,"Hadizadeh Moghaddam, Arya and Nayebi Kerdabadi, Mohsen and Liu, Mei and Yao, Zijun",2024.0,ACM,"{'series': ""CIKM '24"", 'location': 'Boise, ID, USA', 'keywords': 'contrastive learning, electronic health records, prescription recommendation', 'numpages': '10', 'pages': '748–757', 'booktitle': 'Proceedings of the 33rd ACM International Conference on Information and Knowledge Management', 'abstract': 'Recent advancements in sequential modeling applied to Electronic Health Records (EHR) have greatly influenced prescription recommender systems. While the recent literature on drug recommendation has shown promising performance, the study of discovering a diversity of coexisting temporal relationships at the level of medical codes over consecutive visits remains less explored. The goal of this study can be motivated from two perspectives. First, there is a need to develop a sophisticated sequential model capable of disentangling the complex relationships across sequential visits. Second, it is crucial to establish multiple and diverse health profiles for the same patient to ensure a comprehensive consideration of different medical intents in drug recommendation. To achieve this goal, we introduce Attentive Recommendation with Contrasted Intents (ARCI), a multi-level transformer-based method designed to capture the different but coexisting temporal paths across a shared sequence of visits. Specifically, we propose a novel intent-aware method with contrastive learning, that links specialized medical intents of the patients to the transformer heads for extracting distinct temporal paths associated with different health profiles. We conducted experiments on two real-world datasets for the prescription recommendation task using both ranking and classification metrics. Our results demonstrate that ARCI has outperformed the state-of-the-art prescription recommendation methods and is capable of providing interpretable insights for healthcare practitioners.', 'doi': '10.1145/3627673.3679836', 'url': 'https://doi.org/10.1145/3627673.3679836', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9798400704369', 'year': '2024', 'title': 'Contrastive Learning on Medical Intents for Sequential Prescription Recommendation', 'author': 'Hadizadeh Moghaddam, Arya and Nayebi Kerdabadi, Mohsen and Liu, Mei and Yao, Zijun', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3627673.3679836'}"
Time-aware Medication Recommendation via Intervention of Dynamic Treatment Regimes,"Li, Yishuo and Zhang, Qi and Lu, Wenpeng and Peng, Xueping and Zhang, Weiyu and Si, Jiasheng and Gong, Yongshun and Hu, Liang",2025.0,ACM,"{'series': ""WWW '25"", 'location': 'Sydney NSW, Australia', 'keywords': 'dynamic treatment regimes, electronic health record, medication recommendation, recommender systems', 'numpages': '12', 'pages': '5161–5172', 'booktitle': 'Proceedings of the ACM on Web Conference 2025', 'abstract': ""Medication recommendation aims to suggest personalized drug combinations to patients based on their longitudinal medical histories stored in electronic health record (EHR) datasets. Patients' Dynamic Treatment Regimes (DTRs) determine how patients' drug combinations change along with the evolution of disease treatment. DTRs are effective for comprehending disease-treatment dynamics and for recommending a timely and personalized combination of medications for patients. However, existing medication recommender systems (MRSs) overlook the multiple treatment pathways generated by the intervention of DTRs and can only recommend a single treatment paradigm, ignoring the fact that patients may be at different treatment stages and thus require different treatment regime. Such disregard leads to a significant limitation in recommending personalized medication combinations tailored to different treatment stages, yielding greatly compromised accuracy and applicability of MRSs. Moreover, existing methods often overlook the time interval information over patients' successive visits, which is critical to indicate patients' treatment evolution. To address these significant gaps, we propose a Time-aware Medication Recommendation Framework via Intervention of Dynamic Treatment Regimes, called MR-DTR. To explicitly illustrate the intervention processes of DTRs on similar patients, we employ a co-guided graph to connect various patient sequences. In addition, to fully utilize the time interval information, we design a time-aware guidance mechanism dedicated to the co-guided graph to efficiently learn medication representation using the patient's guidance information. We also introduce relative time intervals in the encoder to act as positional information. Extensive experiments on two real-world datasets demonstrate that MR-DTR surpasses state-of-the-art models in terms of recommendation performance. Our code is available at: https://github.com/liyifo/MR-DTR."", 'doi': '10.1145/3696410.3714533', 'url': 'https://doi.org/10.1145/3696410.3714533', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9798400712746', 'year': '2025', 'title': 'Time-aware Medication Recommendation via Intervention of Dynamic Treatment Regimes', 'author': 'Li, Yishuo and Zhang, Qi and Lu, Wenpeng and Peng, Xueping and Zhang, Weiyu and Si, Jiasheng and Gong, Yongshun and Hu, Liang', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3696410.3714533'}"
Multi-hop Knowledge Graph Embedding based on Multi-task Learning to Assist Personalized Medication Recommendation,"Liu, Yanjun and Gu, Jinguang and Qiu, Chen and Yuan, Chong and Gao, Feng",2025.0,ACM,"{'series': ""ISAIMS '24"", 'location': '', 'keywords': 'Knowledge graph embedding, Medication recommendation, Multi-task learning', 'numpages': '8', 'pages': '708–715', 'booktitle': 'Proceedings of the 2024 5th International Symposium on Artificial Intelligence for Medicine Science', 'abstract': ""Personalized medication recommendation aims to recommend appropriate medications to patients and has high practical value. In the current drug recommendation research, some recommendation methods ignore patients' personal valid information resulting in inaccurate results, and some recommendation methods using medical knowledge graph as auxiliary information suffer from underutilization of the graph's valid information or bring noise. To alleviate these problems, a multi-task learning model MHKMR with multi-hop knowledge graph embedding to assist personalized medication recommendation is put forward in this paper. Specifically, in the recommendation task, the model utilizes the detailed personal information of the patient to obtain a rich representation of the patient's features; in the knowledge graph embedding task, the model fully explores more effective information in the knowledge graph by utilizing the multi-hop technique. Moreover, the model introduces the information complementarity module to realize the information complementarity between the items in the recommendation and the entities in the knowledge graph, so as to obtain richer drug feature representations. This paper conducts extensive experiments on two public and real datasets and compares them with some advanced baseline models, and the results of the experiments verify that MHKMR provides excellent recommendation performance."", 'doi': '10.1145/3706890.3707011', 'url': 'https://doi.org/10.1145/3706890.3707011', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9798400717826', 'year': '2025', 'title': 'Multi-hop Knowledge Graph Embedding based on Multi-task Learning to Assist Personalized Medication Recommendation', 'author': 'Liu, Yanjun and Gu, Jinguang and Qiu, Chen and Yuan, Chong and Gao, Feng', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3706890.3707011'}"
Enhancing Drug Recommendations: A Modified LSTM Approach in Intelligent Deep Learning Systems,"Siji Rani, S and Shilpa, P and Menon, Aswin G",2024.0,ACM,"{'keywords': 'Drug Recommendation, Drug Classification, Long Short-Term Memory (LSTM), Support Vector Machine (SVM), Random Forest Classifier', 'numpages': '10', 'pages': '872–881', 'month': 'January', 'journal': 'Procedia Comput. Sci.', 'doi': '10.1016/j.procs.2024.03.276', 'url': 'https://doi.org/10.1016/j.procs.2024.03.276', 'issn': '1877-0509', 'number': 'C', 'volume': '233', 'address': 'NLD', 'publisher': 'Elsevier Science Publishers B. V.', 'issue_date': '2024', 'year': '2024', 'title': 'Enhancing Drug Recommendations: A Modified LSTM Approach in Intelligent Deep Learning Systems', 'author': 'Siji Rani, S and Shilpa, P and Menon, Aswin G', 'ENTRYTYPE': 'article', 'ID': '10.1016/j.procs.2024.03.276'}"
Enhancing Drug Recommendations Via Heterogeneous Graph Representation Learning in EHR Networks,"Zhang, Haijun and Yang, Xian and Bai, Liang and Liang, Jiye",2024.0,ACM,"{'numpages': '12', 'pages': '3024–3035', 'month': 'July', 'journal': 'IEEE Trans. on Knowl. and Data Eng.', 'abstract': 'Electronic health records (EHRs) contain vast medical information like diagnosis, medication, and procedures, enabling personalized drug recommendations and treatment adjustments. However, current drug recommendation methods only model patients’ health conditions from EHR data, neglecting the rich relationships within the data. This paper seeks to utilize a heterogeneous information network (HIN) to represent EHR and develop a graph representation learning method for medication recommendation. However, three critical issues need to be investigated: (1) co-occurrence of diagnosis and drug for the same patient does not imply their relevance; (2) patients’ directly associated information may not be sufficient to reflect their health conditions; and (3) the cold start problem exists when patients have no historical EHRs. To tackle these challenges, we develop a bi-channel heterogeneous local structural encoder to decouple and extract the diverse information in HIN. Additionally, a global information capture and fusion module, aggregating meta-paths to form a global representation, is introduced to fill the information gaps in records. A longitudinal model using rich structural information available in EHR data is proposed for drug recommendations to new patients. Experimental results on real-world EHR data demonstrate significant improvements over existing approaches.', 'doi': '10.1109/TKDE.2023.3329025', 'url': 'https://doi.org/10.1109/TKDE.2023.3329025', 'issn': '1041-4347', 'number': '7', 'volume': '36', 'address': 'USA', 'publisher': 'IEEE Educational Activities Department', 'issue_date': 'July 2024', 'year': '2024', 'title': 'Enhancing Drug Recommendations Via Heterogeneous Graph Representation Learning in EHR Networks', 'author': 'Zhang, Haijun and Yang, Xian and Bai, Liang and Liang, Jiye', 'ENTRYTYPE': 'article', 'ID': '10.1109/TKDE.2023.3329025'}"
FastRx: Exploring Fastformer and Memory-Augmented Graph Neural Networks for Personalized Medication Recommendations,"Phan, Nguyen Minh Thao and Chen, Ling and Chen, Chun-Hung and Peng, Wen-Chih",2024.0,ACM,"{'keywords': 'Medication Recommendation, Electronic Health Records, Graph Convolutional Networks, Attention Mechanism', 'numpages': '21', 'articleno': '128', 'month': 'December', 'journal': 'ACM Trans. Intell. Syst. Technol.', 'abstract': 'Personalized medication recommendations aim to suggest a set of medications based on the clinical conditions of a patient. Not only should the patient’s diagnosis, procedure, and medication history be considered, but drug-drug interactions (DDIs) must also be taken into account to prevent adverse drug reactions. Although recent studies on medication recommendation have considered DDIs and patient history, personalized disease progression and prescription have not been explicitly modeled. In this work, we proposed FastRx, a Fastformer-based medication recommendation model to capture longitudinality in patient history, in combination with Graph Convolutional Networks (GCNs) to handle DDIs and co-prescribed medications in Electronic Health Records (EHRs). Our extensive experiments on the MIMIC-III dataset demonstrated superior performance of the proposed FastRx over existing state-of-the-art models for medication recommendation. The source code and data used in the experiments are available at', 'doi': '10.1145/3696111', 'url': 'https://doi.org/10.1145/3696111', 'issn': '2157-6904', 'number': '6', 'volume': '15', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'issue_date': 'December 2024', 'year': '2024', 'title': 'FastRx: Exploring Fastformer and Memory-Augmented Graph Neural Networks for Personalized Medication Recommendations', 'author': 'Phan, Nguyen Minh Thao and Chen, Ling and Chen, Chun-Hung and Peng, Wen-Chih', 'ENTRYTYPE': 'article', 'ID': '10.1145/3696111'}"
A Contrastive Pretrain Model with Prompt Tuning for Multi-center Medication Recommendation,"Liu, Qidong and Qiu, Zhaopeng and Zhao, Xiangyu and Wu, Xian and Zhang, Zijian and Xu, Tong and Tian, Feng",2025.0,ACM,"{'keywords': 'Multi-Center, Medication Recommendation, Electronic Health Record, Contrastive Learning, Prompt Tuning', 'numpages': '29', 'articleno': '57', 'month': 'February', 'journal': 'ACM Trans. Inf. Syst.', 'abstract': 'Medication recommendation is one of the most critical health-related applications, which has attracted extensive research interest recently. Most existing works focus on a single hospital with abundant medical data. However, many small hospitals only have a few records, which hinders applying existing medication recommendation works to the real world. Thus, we seek to explore a more practical setting, i.e., multi-center medication recommendation. In this setting, most hospitals have few records, but the total number of records is large. Though small hospitals may benefit from total affluent records, it is also faced with the challenge that the data distributions between various hospitals are much different. In this work, we introduce a novel Contrastive Pretrain Model with Prompt Tuning (TEMPT) for multi-center medication recommendation, which includes two stages of pretraining and finetuning. We first design two self-supervised tasks for the pretraining stage to learn general medical knowledge. They are mask prediction and contrastive tasks, which extract the intra- and inter-relationships of input diagnosis and procedures. Furthermore, we devise a novel prompt tuning method to capture the specific information of each hospital rather than adopting the common finetuning. On the one hand, the proposed prompt tuning can better learn the heterogeneity of each hospital to fit various distributions. On the other hand, it can also relieve the catastrophic forgetting problem of finetuning. To validate the proposed model, we conduct extensive experiments on the public eICU, a multi-center medical dataset. The experimental results illustrate the effectiveness of our model. The implementation code is available to ease the reproducibility.1', 'doi': '10.1145/3706631', 'url': 'https://doi.org/10.1145/3706631', 'issn': '1046-8188', 'number': '3', 'volume': '43', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'issue_date': 'May 2025', 'year': '2025', 'title': 'A Contrastive Pretrain Model with Prompt Tuning for Multi-center Medication Recommendation', 'author': 'Liu, Qidong and Qiu, Zhaopeng and Zhao, Xiangyu and Wu, Xian and Zhang, Zijian and Xu, Tong and Tian, Feng', 'ENTRYTYPE': 'article', 'ID': '10.1145/3706631'}"
Topological Knowledge Enhanced Personalized Ranking Model for&nbsp;Sequential Medication Recommendation,"Wang, Yanda and Yue, Lin and Li, Ying",2024.0,ACM,"{'location': 'Sydney, NSW, Australia', 'keywords': 'Sequential Medication Recommendation, Heterogeneous Potentials, Personalized Medication Diversity, Global Associations', 'numpages': '16', 'pages': '109–124', 'booktitle': 'Advanced Data Mining and Applications: 20th International Conference, ADMA 2024, Sydney, NSW, Australia, December 3–5, 2024, Proceedings, Part IV', 'abstract': 'Sequential medication recommendation is a crucial healthcare application designed to administer medications in appropriate sequences. While clinical records offer extensive information on patient conditions, they often lack precise prescribing times needed for constructing target sequences. Previous studies have achieved advances in item ranking for recommendation, but fail to address personalized patient preference for medication diversity or translate global medication associations into ranking scores without target sequences. To address these limitations, we propose the TOpological Knowledge Enhanced PErsonalized Ranking (TOKEPER) model for sequential recommendation. TOKEPER first constructs a key-value Memory Neural Network based on historical clinical records of patients, and employs multi-hop reading to infer patient preferences for medication diversity, generating personalized probabilistic potentials for medications. Then TOKEPER calculates the topological potentials of medications based on concurrent prescription across patient cohort, translating global associations of medications into ranking criteria without relying on target sequences. By integrating these heterogeneous potentials, TOKEPER constructs supervised sequences for sequential medication recommendation. Experiments on real-world data demonstrate that TOKEPER yields satisfactory outcomes and facilitate effective sequential medication recommendation.', 'doi': '10.1007/978-981-96-0840-9_8', 'url': 'https://doi.org/10.1007/978-981-96-0840-9_8', 'address': 'Berlin, Heidelberg', 'publisher': 'Springer-Verlag', 'isbn': '978-981-96-0839-3', 'year': '2024', 'title': 'Topological Knowledge Enhanced Personalized Ranking Model for&nbsp;Sequential Medication Recommendation', 'author': 'Wang, Yanda and Yue, Lin and Li, Ying', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1007/978-981-96-0840-9_8'}"
Personalizing Medication Recommendation with a Graph-Based Approach,"Bhoi, Suman and Lee, Mong Li and Hsu, Wynne and Fang, Hao Sen Andrew and Tan, Ngiap Chuan",2021.0,ACM,"{'keywords': 'Electronic health records, attention-based recommender system', 'numpages': '23', 'articleno': '55', 'month': 'November', 'journal': 'ACM Trans. Inf. Syst.', 'abstract': 'The broad adoption of electronic health records (EHRs) has led to vast amounts of data being accumulated on a patient’s history, diagnosis, prescriptions, and lab tests. Advances in recommender technologies have the potential to utilize this information to help doctors personalize the prescribed medications. However, existing medication recommendation systems have yet to make use of all these information sources in a seamless manner, and they do not provide a justification on why a particular medication is recommended. In this work, we design a two-stage personalized medication recommender system called PREMIER that incorporates information from the EHR. We utilize the various weights in the system to compute the contributions from the information sources for the recommended medications. Our system models the drug interaction from an external drug database and the drug co-occurrence from the EHR as graphs. Experiment results on MIMIC-III and a proprietary outpatient dataset show that PREMIER outperforms state-of-the-art medication recommendation systems while achieving the best tradeoff between accuracy and drug-drug interaction. Case studies demonstrate that the justifications provided by PREMIER are appropriate and aligned to clinical practices.', 'doi': '10.1145/3488668', 'url': 'https://doi.org/10.1145/3488668', 'issn': '1046-8188', 'number': '3', 'volume': '40', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'issue_date': 'July 2022', 'year': '2021', 'title': 'Personalizing Medication Recommendation with a Graph-Based Approach', 'author': 'Bhoi, Suman and Lee, Mong Li and Hsu, Wynne and Fang, Hao Sen Andrew and Tan, Ngiap Chuan', 'ENTRYTYPE': 'article', 'ID': '10.1145/3488668'}"
Leverage Diagnosis Intensity in Medication Recommendations,"Aziz, Abdul and Ali, Zafar and Qi, Guilin and Huang, Yi and Kefalas, Pavlos and Aminullah and Ali, Asad",2024.0,ACM,"{'location': 'Tianjin, China', 'keywords': 'recommender systems, medication recommendation, diagnosis intensity, electronic health record', 'numpages': '13', 'pages': '38–50', 'booktitle': 'Advanced Intelligent Computing Technology and Applications: 20th International Conference, ICIC 2024, Tianjin, China, August 5–8, 2024, Proceedings, Part VI', 'abstract': 'In recent years, the patient’s medical records have grown rapidly. This has led to the need of medication recommendation systems that use past diagnoses and personalize the proposed treatment. The majority of those systems prioritize medication recommendations based on the current diagnoses of the patient’s electronic health record (EHR) without considering diagnosis intensity. Thus, they fail to capture the intensity of the patient’s condition, which leads to low accuracy on their recommendations. In this study, we propose a medication recommendation system that leverages the diagnosis intensity in medication recommendation (LDIM-R). The main goal of our model is to compare the severity of diagnoses at each visit to all the previous visits. The proposed study commences by accessing the patient’s historical health record from the Medical Information Mart for Intensive Care (MIMIC-III). Subsequently, the average intensity of previous diagnoses is calculated and compared to the diagnosed intensity of the current visit. Then the proposed model considers three factors: 1) there is no discernible change in the overall diagnosed intensity; 2) the overall diagnosed intensity has declined; or 3) the overall diagnosed intensity has increased. As demonstrated by the result of our experiments over the MIMIC-III dataset, our method outperformed state-of-the-art medication recommendation systems.', 'doi': '10.1007/978-981-97-5678-0_4', 'url': 'https://doi.org/10.1007/978-981-97-5678-0_4', 'address': 'Berlin, Heidelberg', 'publisher': 'Springer-Verlag', 'isbn': '978-981-97-5677-3', 'year': '2024', 'title': 'Leverage Diagnosis Intensity in Medication Recommendations', 'author': 'Aziz, Abdul and Ali, Zafar and Qi, Guilin and Huang, Yi and Kefalas, Pavlos and Aminullah and Ali, Asad', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1007/978-981-97-5678-0_4'}"
