title,authors,year,source,raw
Medication recommendation via dual molecular modalities and multi-step enhancement,"Mu, Shi and Li, Chen and Li, Xiang and Liang, Shunpan",2025.0,ACM,"{'keywords': 'Intelligent healthcare management, Medication recommendation, Recommender systems', 'numpages': '14', 'month': 'May', 'journal': 'Expert Syst. Appl.', 'doi': '10.1016/j.eswa.2025.127163', 'url': 'https://doi.org/10.1016/j.eswa.2025.127163', 'issn': '0957-4174', 'number': 'C', 'volume': '276', 'address': 'USA', 'publisher': 'Pergamon Press, Inc.', 'issue_date': 'Jun 2025', 'year': '2025', 'title': 'Medication recommendation via dual molecular modalities and multi-step enhancement', 'author': 'Mu, Shi and Li, Chen and Li, Xiang and Liang, Shunpan', 'ENTRYTYPE': 'article', 'ID': '10.1016/j.eswa.2025.127163'}"
MGEDR: A Molecular Graph Encoder for&nbsp;Drug Recommendation,"Shi, Kaiyuan and Zhang, Shaowu and Liu, Haifeng and Zhang, Yijia and Lin, Hongfei",2022.0,ACM,"{'location': 'Guilin, China', 'keywords': 'Molecular graph encoder, Drug recommendation, Graph neural network', 'numpages': '12', 'pages': '98–109', 'booktitle': 'Natural Language Processing and Chinese Computing: 11th CCF International Conference, NLPCC 2022, Guilin, China, September 24–25, 2022, Proceedings, Part II', 'abstract': 'Recently, drug recommendation tasks have been widely accepted in intelligent healthcare. Most of the existing methods utilize patients’ electronic health records (EHRs) to achieve medical prediction. However, existing algorithms neglect the description of the patient’s health status, which makes it difficult to adapt to the dynamic patients’ condition. And they ignore the intrinsic encoding of drug molecular structure, resulting in the weak performance of drug recommendation. To fill the gap, we propose a molecular graph encoder for drug recommendation named MGEDR to capture the genuine health status of patients. Furthermore, We encode the drug molecular graph and functional groups separately to obtain subtle drug representation. And we design the degree encoder and functional groups encoder to seize the intrinsic features of the molecule efficaciously. Our experimental results show that our proposed MGEDR framework performs significantly better than state-of-the-art baseline methods.', 'doi': '10.1007/978-3-031-17189-5_8', 'url': 'https://doi.org/10.1007/978-3-031-17189-5_8', 'address': 'Berlin, Heidelberg', 'publisher': 'Springer-Verlag', 'isbn': '978-3-031-17188-8', 'year': '2022', 'title': 'MGEDR: A Molecular Graph Encoder for&nbsp;Drug Recommendation', 'author': 'Shi, Kaiyuan and Zhang, Shaowu and Liu, Haifeng and Zhang, Yijia and Lin, Hongfei', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1007/978-3-031-17189-5_8'}"
Perceived individual fairness with a molecular representation for medicine recommendations,"Liu, Haifeng and Lin, Hongfei and Xu, Bo and Zhao, Nan and Wen, Dongzhen and Zhang, Xiaokun and Lin, Yuan",2022.0,ACM,"{'keywords': 'Fair recommendation, Individual fairness, Recommendation systems, Medicine recommendations', 'numpages': '14', 'month': 'July', 'journal': 'Know.-Based Syst.', 'doi': '10.1016/j.knosys.2022.108755', 'url': 'https://doi.org/10.1016/j.knosys.2022.108755', 'issn': '0950-7051', 'number': 'C', 'volume': '247', 'address': 'NLD', 'publisher': 'Elsevier Science Publishers B. V.', 'issue_date': 'Jul 2022', 'year': '2022', 'title': 'Perceived individual fairness with a molecular representation for medicine recommendations', 'author': 'Liu, Haifeng and Lin, Hongfei and Xu, Bo and Zhao, Nan and Wen, Dongzhen and Zhang, Xiaokun and Lin, Yuan', 'ENTRYTYPE': 'article', 'ID': '10.1016/j.knosys.2022.108755'}"
An integrated computational strategy to predict personalized cancer drug combinations by reversing drug resistance signatures,"Wang, Xun and Yang, Lele and Yu, Chuang and Ling, Xinping and Guo, Congcong and Chen, Ruzhen and Li, Dong and Liu, Zhongyang",2023.0,ACM,"{'keywords': 'Personalized drug combination prediction, Drug resistance signature reversal, Bioinformatics, Gene expression profile', 'numpages': '11', 'month': 'September', 'journal': 'Comput. Biol. Med.', 'doi': '10.1016/j.compbiomed.2023.107230', 'url': 'https://doi.org/10.1016/j.compbiomed.2023.107230', 'issn': '0010-4825', 'number': 'C', 'volume': '163', 'address': 'USA', 'publisher': 'Pergamon Press, Inc.', 'issue_date': 'Sep 2023', 'year': '2023', 'title': 'An integrated computational strategy to predict personalized cancer drug combinations by reversing drug resistance signatures', 'author': 'Wang, Xun and Yang, Lele and Yu, Chuang and Ling, Xinping and Guo, Congcong and Chen, Ruzhen and Li, Dong and Liu, Zhongyang', 'ENTRYTYPE': 'article', 'ID': '10.1016/j.compbiomed.2023.107230'}"
Context-aware safe medication recommendations with molecular graph and DDI graph embedding,"Chen, Qianyu and Li, Xin and Geng, Kunnan and Wang, Mingzhong",2023.0,ACM,"{'series': ""AAAI'23/IAAI'23/EAAI'23"", 'numpages': '8', 'articleno': '792', 'booktitle': 'Proceedings of the Thirty-Seventh AAAI Conference on Artificial Intelligence and Thirty-Fifth Conference on Innovative Applications of Artificial Intelligence and Thirteenth Symposium on Educational Advances in Artificial Intelligence', 'abstract': 'Molecular structures and Drug-Drug Interactions (DDI) are recognized as important knowledge to guide medication recommendation (MR) tasks, and medical concept embedding has been applied to boost their performance. Though promising performance has been achieved by leveraging Graph Neural Network (GNN) models to encode the molecular structures of medications or/and DDI, we observe that existing models are still defective: 1) to differentiate medications with similar molecules but different functionality; or/and 2) to properly capture the unintended reactions between drugs in the embedding space. To alleviate this limitation, we propose Carmen, a cautiously designed graph embedding-based MR framework. Carmen consists of four components, including patient representation learning, context information extraction, context-aware GNN, and DDI encoding. Carmen incorporates the visit history into the representation learning of molecular graphs to distinguish molecules with similar topology but dissimilar activity. Its DDI encoding module is specially devised for the non-transitive interaction DDI graphs. The experiments on real-world datasets demonstrate that Carmen achieves remarkable performance improvement over state-of-the-art models and can improve the safety of recommended drugs with proper DDI graph encoding.', 'doi': '10.1609/aaai.v37i6.25861', 'url': 'https://doi.org/10.1609/aaai.v37i6.25861', 'publisher': 'AAAI Press', 'isbn': '978-1-57735-880-0', 'year': '2023', 'title': 'Context-aware safe medication recommendations with molecular graph and DDI graph embedding', 'author': 'Chen, Qianyu and Li, Xin and Geng, Kunnan and Wang, Mingzhong', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1609/aaai.v37i6.25861'}"
MoleRec: Combinatorial Drug Recommendation with Substructure-Aware Molecular Representation Learning,"Yang, Nianzu and Zeng, Kaipeng and Wu, Qitian and Yan, Junchi",2023.0,ACM,"{'series': ""WWW '23"", 'location': 'Austin, TX, USA', 'keywords': 'Clinical Therapeutics, Combinatorial Drug Recommendation, Molecule Representation Learning, Recommender Systems', 'numpages': '11', 'pages': '4075–4085', 'booktitle': 'Proceedings of the ACM Web Conference 2023', 'abstract': 'Combinatorial drug recommendation involves recommending a personalized combination of medication (drugs) to a patient over his/her longitudinal history, which essentially aims at solving a combinatorial optimization problem that pursues high accuracy under the safety constraint. Among existing learning-based approaches, the association between drug substructures (i.e., a sub-graph of the molecule that contributes to certain chemical effect) and the target disease is largely overlooked, though the function of drugs in fact exhibits strong relevance with particular substructures. To address this issue, we propose a molecular substructure-aware encoding method entitled MoleRec that entails a hierarchical architecture aimed at modeling inter-substructure interactions and individual substructures’ impact on patient’s health condition, in order to identify those substructures that really contribute to healing patients. Specifically, MoleRec learns to attentively pooling over substructure representations which will be element-wisely re-scaled by the model’s inferred relevancy with a patient’s health condition to obtain a prior-knowledge-informed drug representation. We further design a weight annealing strategy for drug-drug-interaction (DDI) objective to adaptively control the balance between accuracy and safety criteria throughout training. Experiments on the MIMIC-III dataset demonstrate that our approach achieves new state-of-the-art performance w.r.t. four accuracy and safety metrics. Our source code is publicly available at https://github.com/yangnianzu0515/MoleRec.', 'doi': '10.1145/3543507.3583872', 'url': 'https://doi.org/10.1145/3543507.3583872', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450394161', 'year': '2023', 'title': 'MoleRec: Combinatorial Drug Recommendation with Substructure-Aware Molecular Representation Learning', 'author': 'Yang, Nianzu and Zeng, Kaipeng and Wu, Qitian and Yan, Junchi', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3543507.3583872'}"
DeepSeq2Drug: An expandable ensemble end-to-end anti-viral drug repurposing benchmark framework by multi-modal embeddings and transfer learning,"Xie, Weidun and Yu, Jixiang and Huang, Lei and For, Lek Shyuen and Zheng, Zetian and Chen, Xingjian and Wang, Yuchen and Liu, Zhichao and Peng, Chengbin and Wong, Ka-Chun",2024.0,ACM,"{'keywords': 'Anti-viral drug, Drug repurposing, Transfer learning, Ensemble learning', 'numpages': '13', 'month': 'June', 'journal': 'Comput. Biol. Med.', 'doi': '10.1016/j.compbiomed.2024.108487', 'url': 'https://doi.org/10.1016/j.compbiomed.2024.108487', 'issn': '0010-4825', 'number': 'C', 'volume': '175', 'address': 'USA', 'publisher': 'Pergamon Press, Inc.', 'issue_date': 'Jun 2024', 'year': '2024', 'title': 'DeepSeq2Drug: An expandable ensemble end-to-end anti-viral drug repurposing benchmark framework by multi-modal embeddings and transfer learning', 'author': 'Xie, Weidun and Yu, Jixiang and Huang, Lei and For, Lek Shyuen and Zheng, Zetian and Chen, Xingjian and Wang, Yuchen and Liu, Zhichao and Peng, Chengbin and Wong, Ka-Chun', 'ENTRYTYPE': 'article', 'ID': '10.1016/j.compbiomed.2024.108487'}"
"Drug Efficacy Recommendation System of Glioblastoma {(GBM)} Using
Deep Learning","Sajid Naveed and
Mujtaba Husnain and
Ali Samad and
Amna Ikram and
Hina Afreen and
Ghulam Gilanie and
Najah M. Alsubaie",2025.0,DBLP,"{'bibsource': 'dblp computer science bibliography, https://dblp.org', 'biburl': 'https://dblp.org/rec/journals/access/NaveedHSIAGA25.bib', 'timestamp': 'Fri, 14 Feb 2025 00:00:00 +0100', 'doi': '10.1109/ACCESS.2024.3514912', 'url': 'https://doi.org/10.1109/ACCESS.2024.3514912', 'year': '2025', 'pages': '10398--10411', 'volume': '13', 'journal': '{IEEE} Access', 'title': 'Drug Efficacy Recommendation System of Glioblastoma {(GBM)} Using\nDeep Learning', 'author': 'Sajid Naveed and\nMujtaba Husnain and\nAli Samad and\nAmna Ikram and\nHina Afreen and\nGhulam Gilanie and\nNajah M. Alsubaie', 'ENTRYTYPE': 'article', 'ID': 'DBLP:journals/access/NaveedHSIAGA25'}"
"Machine Learning Based Drug Recommendation from Sentiment Analysis
of Drug Rating and Reviews","Kodepogu Koteswara Rao and
Kona Sravya and
Kadamati Jaya Phanidra Sai and
Gummadi Giri Ratna Sai and
Geetha Ganesan",2022.0,DBLP,"{'bibsource': 'dblp computer science bibliography, https://dblp.org', 'biburl': 'https://dblp.org/rec/conf/wai/RaoSSSG22.bib', 'timestamp': 'Thu, 19 Dec 2024 17:20:55 +0100', 'url': 'http://ceur-ws.org/Vol-3146/PAPER\\_01.pdf', 'year': '2022', 'publisher': 'CEUR-WS.org', 'pages': '1--13', 'volume': '3146', 'series': '{CEUR} Workshop Proceedings', 'booktitle': 'Proceedings of the Workshop on Artificial Intelligence {(WAI} 2022)\nCo-located with Computing Congress {(CC} 2022), Chennai, India,January\n28 - 29, 2022 (Later changed to Online due to {COVID-19} Pandemic)', 'title': 'Machine Learning Based Drug Recommendation from Sentiment Analysis\nof Drug Rating and Reviews', 'editor': 'Valentina Emilia Balas and\nGeetha Ganesan', 'author': 'Kodepogu Koteswara Rao and\nKona Sravya and\nKadamati Jaya Phanidra Sai and\nGummadi Giri Ratna Sai and\nGeetha Ganesan', 'ENTRYTYPE': 'inproceedings', 'ID': 'DBLP:conf/wai/RaoSSSG22'}"
"Drug Recommendation System based on Sentiment Analysis of Drug Reviews
using Machine Learning",Satvik Garg,2021.0,DBLP,"{'bibsource': 'dblp computer science bibliography, https://dblp.org', 'biburl': 'https://dblp.org/rec/journals/corr/abs-2104-01113.bib', 'timestamp': 'Mon, 12 Apr 2021 01:00:00 +0200', 'eprint': '2104.01113', 'eprinttype': 'arXiv', 'url': 'https://arxiv.org/abs/2104.01113', 'year': '2021', 'volume': 'abs/2104.01113', 'journal': 'CoRR', 'title': 'Drug Recommendation System based on Sentiment Analysis of Drug Reviews\nusing Machine Learning', 'author': 'Satvik Garg', 'ENTRYTYPE': 'article', 'ID': 'DBLP:journals/corr/abs-2104-01113'}"
