title,authors,year,source,raw
Interaction-Aware Temporal Prescription Generation via&nbsp;Message Passing Neural Network,"Wang, Cong and Zheng, Zhi and Xu, Tong and Yin, Zikai and Chen, Enhong",2022.0,ACM,"{'location': 'Beijing, China', 'keywords': 'Drug recommendation, Graph neural network', 'numpages': '12', 'pages': '218–229', 'booktitle': 'Artificial Intelligence: Second CAAI International Conference, CICAI 2022, Beijing, China, August 27–28, 2022, Revised Selected Papers, Part II', 'abstract': 'In recent years, deep learning techniques have been applied with great success in the healthcare industry, such as disease prediction and drug recommendation. However, existing works on drug recommendation either do not take the critical impact of doses on treatment outcomes into account, or neglect the patient’s personalized history and drug-drug interactions, resulting in suboptimal recommendation results. To fill these gaps, we propose a novel Temporal Prescription Generation (TPG) model in this paper. Specifically, we first utilize a message passing neural network to capture the interaction between drugs, combined with a decomposed long and short-term memory (LSTM-DE) to characterize patient’s general information. Then, we design a prescription generator based on recurrent neural network to generate drugs and estimate doses simultaneously. Experimental results on a real-world dataset clearly demonstrate that the proposed model is superior to the best existing models in terms of drug recommendation and dose estimation.', 'doi': '10.1007/978-3-031-20500-2_18', 'url': 'https://doi.org/10.1007/978-3-031-20500-2_18', 'address': 'Berlin, Heidelberg', 'publisher': 'Springer-Verlag', 'isbn': '978-3-031-20499-9', 'year': '2022', 'title': 'Interaction-Aware Temporal Prescription Generation via&nbsp;Message Passing Neural Network', 'author': 'Wang, Cong and Zheng, Zhi and Xu, Tong and Yin, Zikai and Chen, Enhong', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1007/978-3-031-20500-2_18'}"
Research on Drug Recommendation Based on Feature Interaction and Graph Convolution,"Zhu, Jingyun and Yilahun, Hankiz and Hamdulla, Askar",2024.0,ACM,"{'series': ""ICAICE '23"", 'location': 'Dalian, China', 'keywords': 'Drug Recommendation, Feature Interaction, Graph Convolution, Heterogeneous Propagation, Knowledge Graph', 'numpages': '6', 'pages': '1214–1219', 'booktitle': 'Proceedings of the 4th International Conference on Artificial Intelligence and Computer Engineering', 'abstract': 'Existing drug recommendation algorithms often ignore the role played by neighbourhood information among drugs in recommendation, and it is difficult to model user features. To address the above problems, we propose a research method for drug recommendation based on feature interaction and graph convolution. First, we introduce a knowledge graph (KG) of drugs and perform feature extraction by graph convolution algorithm, which effectively captures the correlation between the neighbourhoods of medicines. Second, we enrich the vector representation of users and drugs by obtaining node information of users and drugs through a heterogeneous propagation layer and employing a knowledge-aware attention mechanism to distinguish the contributions of tail entities in different triples. In addition, we use a two-mechanism approach to dynamically learn the vector representations of users, which improves the recommendation effect of the model. Finally, the user feature vectors and drug feature vectors are fed into the prediction module to obtain the interaction probability between the user and the drug. Compared with other state-of-the-art mainstream models, the accuracy of the proposed model on drugs dataset and Book-Crossing dataset is improved by 1.01% and 0.8%, respectively. The experimental results demonstrate that the proposed model has high recommendation accuracy and superior overall performance.', 'doi': '10.1145/3652628.3652827', 'url': 'https://doi.org/10.1145/3652628.3652827', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9798400708831', 'year': '2024', 'title': 'Research on Drug Recommendation Based on Feature Interaction and Graph Convolution', 'author': 'Zhu, Jingyun and Yilahun, Hankiz and Hamdulla, Askar', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3652628.3652827'}"
MRIGAT: Many-to-many Recommendation using Interaction based Knowledge Graph Attention,"Gao, Feng and Yuan, Kai and Gu, Jinguang and Liu, Yun",2022.0,ACM,"{'series': ""ISAIMS '22"", 'location': 'Amsterdam, Netherlands', 'keywords': 'attention, graph neural network, knowledge graph, many-to-many recommendation', 'numpages': '7', 'pages': '247–253', 'booktitle': 'Proceedings of the 3rd International Symposium on Artificial Intelligence for Medicine Sciences', 'abstract': ""Recommendation systems combining Graph Neural Networks and Knowledge Graphs have been successfully applied in various domains. However, most existing approaches only consider one-to-one or one-to-many user-item interactions and cannot cater to many-to-many recommendation scenarios, such as providing prescriptions based on clinical diagnosis and medical history. Providing such a recommendation requires considering the implicit interaction within input user features as well as output candidates. In this paper, we propose a two-stage knowledge graph attention aggregation mechanism that helps recommend drug combinations for a patient based on his conditions. First, a disease-drug interaction graph is constructed and integrated with the medical domain knowledge, forming a collaborative knowledge graph. Secondly, an intra-feature attention aggregation is performed to obtain the representations of diseases and drugs based on drug-drug and disease-disease interactions, respectively. Thirdly, an inter-feature attention aggregation is performed using the disease-drug interaction to better represent a user's condition. Finally, the user's condition representation is concatenated with other user features to generate the final user representation for the prescription recommendation. Experiments with realistic datasets show that our approach can outperform existing recommendation systems by 4.3% and 6.1% in precision and recall, respectively."", 'doi': '10.1145/3570773.3570888', 'url': 'https://doi.org/10.1145/3570773.3570888', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450398442', 'year': '2022', 'title': 'MRIGAT: Many-to-many Recommendation using Interaction based Knowledge Graph Attention', 'author': 'Gao, Feng and Yuan, Kai and Gu, Jinguang and Liu, Yun', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3570773.3570888'}"
Time-aware Medication Recommendation via Intervention of Dynamic Treatment Regimes,"Li, Yishuo and Zhang, Qi and Lu, Wenpeng and Peng, Xueping and Zhang, Weiyu and Si, Jiasheng and Gong, Yongshun and Hu, Liang",2025.0,ACM,"{'series': ""WWW '25"", 'location': 'Sydney NSW, Australia', 'keywords': 'dynamic treatment regimes, electronic health record, medication recommendation, recommender systems', 'numpages': '12', 'pages': '5161–5172', 'booktitle': 'Proceedings of the ACM on Web Conference 2025', 'abstract': ""Medication recommendation aims to suggest personalized drug combinations to patients based on their longitudinal medical histories stored in electronic health record (EHR) datasets. Patients' Dynamic Treatment Regimes (DTRs) determine how patients' drug combinations change along with the evolution of disease treatment. DTRs are effective for comprehending disease-treatment dynamics and for recommending a timely and personalized combination of medications for patients. However, existing medication recommender systems (MRSs) overlook the multiple treatment pathways generated by the intervention of DTRs and can only recommend a single treatment paradigm, ignoring the fact that patients may be at different treatment stages and thus require different treatment regime. Such disregard leads to a significant limitation in recommending personalized medication combinations tailored to different treatment stages, yielding greatly compromised accuracy and applicability of MRSs. Moreover, existing methods often overlook the time interval information over patients' successive visits, which is critical to indicate patients' treatment evolution. To address these significant gaps, we propose a Time-aware Medication Recommendation Framework via Intervention of Dynamic Treatment Regimes, called MR-DTR. To explicitly illustrate the intervention processes of DTRs on similar patients, we employ a co-guided graph to connect various patient sequences. In addition, to fully utilize the time interval information, we design a time-aware guidance mechanism dedicated to the co-guided graph to efficiently learn medication representation using the patient's guidance information. We also introduce relative time intervals in the encoder to act as positional information. Extensive experiments on two real-world datasets demonstrate that MR-DTR surpasses state-of-the-art models in terms of recommendation performance. Our code is available at: https://github.com/liyifo/MR-DTR."", 'doi': '10.1145/3696410.3714533', 'url': 'https://doi.org/10.1145/3696410.3714533', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9798400712746', 'year': '2025', 'title': 'Time-aware Medication Recommendation via Intervention of Dynamic Treatment Regimes', 'author': 'Li, Yishuo and Zhang, Qi and Lu, Wenpeng and Peng, Xueping and Zhang, Weiyu and Si, Jiasheng and Gong, Yongshun and Hu, Liang', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3696410.3714533'}"
Multi-hop Knowledge Graph Embedding based on Multi-task Learning to Assist Personalized Medication Recommendation,"Liu, Yanjun and Gu, Jinguang and Qiu, Chen and Yuan, Chong and Gao, Feng",2025.0,ACM,"{'series': ""ISAIMS '24"", 'location': '', 'keywords': 'Knowledge graph embedding, Medication recommendation, Multi-task learning', 'numpages': '8', 'pages': '708–715', 'booktitle': 'Proceedings of the 2024 5th International Symposium on Artificial Intelligence for Medicine Science', 'abstract': ""Personalized medication recommendation aims to recommend appropriate medications to patients and has high practical value. In the current drug recommendation research, some recommendation methods ignore patients' personal valid information resulting in inaccurate results, and some recommendation methods using medical knowledge graph as auxiliary information suffer from underutilization of the graph's valid information or bring noise. To alleviate these problems, a multi-task learning model MHKMR with multi-hop knowledge graph embedding to assist personalized medication recommendation is put forward in this paper. Specifically, in the recommendation task, the model utilizes the detailed personal information of the patient to obtain a rich representation of the patient's features; in the knowledge graph embedding task, the model fully explores more effective information in the knowledge graph by utilizing the multi-hop technique. Moreover, the model introduces the information complementarity module to realize the information complementarity between the items in the recommendation and the entities in the knowledge graph, so as to obtain richer drug feature representations. This paper conducts extensive experiments on two public and real datasets and compares them with some advanced baseline models, and the results of the experiments verify that MHKMR provides excellent recommendation performance."", 'doi': '10.1145/3706890.3707011', 'url': 'https://doi.org/10.1145/3706890.3707011', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9798400717826', 'year': '2025', 'title': 'Multi-hop Knowledge Graph Embedding based on Multi-task Learning to Assist Personalized Medication Recommendation', 'author': 'Liu, Yanjun and Gu, Jinguang and Qiu, Chen and Yuan, Chong and Gao, Feng', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3706890.3707011'}"
Topological Knowledge Enhanced Personalized Ranking Model for&nbsp;Sequential Medication Recommendation,"Wang, Yanda and Yue, Lin and Li, Ying",2024.0,ACM,"{'location': 'Sydney, NSW, Australia', 'keywords': 'Sequential Medication Recommendation, Heterogeneous Potentials, Personalized Medication Diversity, Global Associations', 'numpages': '16', 'pages': '109–124', 'booktitle': 'Advanced Data Mining and Applications: 20th International Conference, ADMA 2024, Sydney, NSW, Australia, December 3–5, 2024, Proceedings, Part IV', 'abstract': 'Sequential medication recommendation is a crucial healthcare application designed to administer medications in appropriate sequences. While clinical records offer extensive information on patient conditions, they often lack precise prescribing times needed for constructing target sequences. Previous studies have achieved advances in item ranking for recommendation, but fail to address personalized patient preference for medication diversity or translate global medication associations into ranking scores without target sequences. To address these limitations, we propose the TOpological Knowledge Enhanced PErsonalized Ranking (TOKEPER) model for sequential recommendation. TOKEPER first constructs a key-value Memory Neural Network based on historical clinical records of patients, and employs multi-hop reading to infer patient preferences for medication diversity, generating personalized probabilistic potentials for medications. Then TOKEPER calculates the topological potentials of medications based on concurrent prescription across patient cohort, translating global associations of medications into ranking criteria without relying on target sequences. By integrating these heterogeneous potentials, TOKEPER constructs supervised sequences for sequential medication recommendation. Experiments on real-world data demonstrate that TOKEPER yields satisfactory outcomes and facilitate effective sequential medication recommendation.', 'doi': '10.1007/978-981-96-0840-9_8', 'url': 'https://doi.org/10.1007/978-981-96-0840-9_8', 'address': 'Berlin, Heidelberg', 'publisher': 'Springer-Verlag', 'isbn': '978-981-96-0839-3', 'year': '2024', 'title': 'Topological Knowledge Enhanced Personalized Ranking Model for&nbsp;Sequential Medication Recommendation', 'author': 'Wang, Yanda and Yue, Lin and Li, Ying', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1007/978-981-96-0840-9_8'}"
Leverage Diagnosis Intensity in Medication Recommendations,"Aziz, Abdul and Ali, Zafar and Qi, Guilin and Huang, Yi and Kefalas, Pavlos and Aminullah and Ali, Asad",2024.0,ACM,"{'location': 'Tianjin, China', 'keywords': 'recommender systems, medication recommendation, diagnosis intensity, electronic health record', 'numpages': '13', 'pages': '38–50', 'booktitle': 'Advanced Intelligent Computing Technology and Applications: 20th International Conference, ICIC 2024, Tianjin, China, August 5–8, 2024, Proceedings, Part VI', 'abstract': 'In recent years, the patient’s medical records have grown rapidly. This has led to the need of medication recommendation systems that use past diagnoses and personalize the proposed treatment. The majority of those systems prioritize medication recommendations based on the current diagnoses of the patient’s electronic health record (EHR) without considering diagnosis intensity. Thus, they fail to capture the intensity of the patient’s condition, which leads to low accuracy on their recommendations. In this study, we propose a medication recommendation system that leverages the diagnosis intensity in medication recommendation (LDIM-R). The main goal of our model is to compare the severity of diagnoses at each visit to all the previous visits. The proposed study commences by accessing the patient’s historical health record from the Medical Information Mart for Intensive Care (MIMIC-III). Subsequently, the average intensity of previous diagnoses is calculated and compared to the diagnosed intensity of the current visit. Then the proposed model considers three factors: 1) there is no discernible change in the overall diagnosed intensity; 2) the overall diagnosed intensity has declined; or 3) the overall diagnosed intensity has increased. As demonstrated by the result of our experiments over the MIMIC-III dataset, our method outperformed state-of-the-art medication recommendation systems.', 'doi': '10.1007/978-981-97-5678-0_4', 'url': 'https://doi.org/10.1007/978-981-97-5678-0_4', 'address': 'Berlin, Heidelberg', 'publisher': 'Springer-Verlag', 'isbn': '978-981-97-5677-3', 'year': '2024', 'title': 'Leverage Diagnosis Intensity in Medication Recommendations', 'author': 'Aziz, Abdul and Ali, Zafar and Qi, Guilin and Huang, Yi and Kefalas, Pavlos and Aminullah and Ali, Asad', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1007/978-981-97-5678-0_4'}"
MIFNet: multimodal interactive fusion network for medication recommendation,"Huo, Jiazhen and Hong, Zhikai and Chen, Mingzhou and Duan, Yongrui",2024.0,ACM,"{'keywords': 'Electronic health records, Multimodal fusion, Medication recommendation, Temporal event modeling', 'numpages': '33', 'pages': '12313–12345', 'month': 'February', 'journal': 'J. Supercomput.', 'abstract': 'Medication recommendation aims to provide clinicians with safe medicine combinations for the treatment of patients. Existing medication recommendation models are built based on the temporal structured code data of electronic health records (EHRs) in the medical database; nevertheless, unstructured data in EHRs, such as textual data containing rich information, are underexploited. To fill the gap, a novel multimodal interactive fusion network (MIFNet) is proposed for medication recommendation, which integrates both structured code information and unstructured text information in EHRs. Our model first extracts a series of informative feature representations to encode comprehensive patient health history and control potential drug–drug interactions (DDI), including medical code, clinical notes, and the DDI knowledge graph. Next, a novel cross-modal interaction extraction block is proposed to capture the intricate interaction information between the two modalities. Finally, a multimodal fusion block is adopted to fuse the constructed features and generate a medication combination list. Experiments are conducted on the public MIMIC-III dataset, and the results demonstrate that the proposed model outperforms the state-of-the-art medication recommendation methods on main evaluation metrics.', 'doi': '10.1007/s11227-024-05908-1', 'url': 'https://doi.org/10.1007/s11227-024-05908-1', 'issn': '0920-8542', 'number': '9', 'volume': '80', 'address': 'USA', 'publisher': 'Kluwer Academic Publishers', 'issue_date': 'Jun 2024', 'year': '2024', 'title': 'MIFNet: multimodal interactive fusion network for medication recommendation', 'author': 'Huo, Jiazhen and Hong, Zhikai and Chen, Mingzhou and Duan, Yongrui', 'ENTRYTYPE': 'article', 'ID': '10.1007/s11227-024-05908-1'}"
AKA-SafeMed: A safe medication recommendation based on attention mechanism and knowledge augmentation,"Yu, Xiaomei and Li, Xue and Zhao, Fangcao and Yan, Xiaoyan and Zheng, Xiangwei and Li, Tao",2024.0,ACM,"{'keywords': 'Medication recommendation, Electronic health record, Drug-drug interaction, Attention mechanism, Knowledge augmentation', 'numpages': '16', 'month': 'June', 'journal': 'Inf. Sci.', 'doi': '10.1016/j.ins.2024.120577', 'url': 'https://doi.org/10.1016/j.ins.2024.120577', 'issn': '0020-0255', 'number': 'C', 'volume': '670', 'address': 'USA', 'publisher': 'Elsevier Science Inc.', 'issue_date': 'Jun 2024', 'year': '2024', 'title': 'AKA-SafeMed: A safe medication recommendation based on attention mechanism and knowledge augmentation', 'author': 'Yu, Xiaomei and Li, Xue and Zhao, Fangcao and Yan, Xiaoyan and Zheng, Xiangwei and Li, Tao', 'ENTRYTYPE': 'article', 'ID': '10.1016/j.ins.2024.120577'}"
Prescription Recommendation based on Intention Retrieval Network and Multimodal Medical Indicator,"Gao, Feng and Chen, Yao and Liu, Maofu",2023.0,ACM,"{'series': ""MMIR '23"", 'location': 'Ottawa ON, Canada', 'keywords': 'electronic health record, multimodal information extraction, prescription recommendation', 'numpages': '9', 'pages': '19–27', 'booktitle': 'Proceedings of the 1st International Workshop on Deep Multimodal Learning for Information Retrieval', 'abstract': 'Knowledge based Clinical Decision Support Systems can provide precise and interpretable results for prescription recommendation. Many existing knowledge based prescription recommendation systems take into account multi-modal historical medical events to learn from past experiences. However, such approaches treat those events as independent, static information and neglect the fact that patient history is a set of chronical events. Hence, they lack the ability to extract the dynamics of prescription intentions and cannot provide precise and interpretable results for chronical disease patients with long-term or repeating visits. To address these limitations, we propose a novel Intention Aware Conditional Generation Net (IACoGNet), which introduces an optimized copy-or-predict mechanism to learn precription intentions from multi-modal health datasets and generate drug recommendations. IACoGNet first designs a knowledge representation model that captures multi-modal patient features. Then, it proposes a novel prescription intention representation model in the multi-visit scenario and predicts the diagnostic intention. Finally, it constructs a prescription recommendation framework utilizing the above two knowledge representations. We validate IACoGNet on the public MIMIC data set, and the experimental results show that IACoGNet can achieve optimum in F1 score and average precision.', 'doi': '10.1145/3606040.3617446', 'url': 'https://doi.org/10.1145/3606040.3617446', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9798400702716', 'year': '2023', 'title': 'Prescription Recommendation based on Intention Retrieval Network and Multimodal Medical Indicator', 'author': 'Gao, Feng and Chen, Yao and Liu, Maofu', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3606040.3617446'}"
